molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,standard_value_norm,pIC50_values
CHEMBL143453,CC(C)[C@@H]1Nc2c3c(cc4[nH]cc(c24)C[C@@H](CO)NC1=O)C(C)(C)CCC3(C)C,400,active,397.563,3.9866,4,3,400,6.397940009
CHEMBL120645,CC(C)[C@H]1C(=O)N[C@H](CO)CC2CNc3cccc(c32)N1C,150,active,303.406,1.5373,3,4,150,6.823908741
CHEMBL421565,Cn1cc(C2=C(c3c4n(c5ccccc35)CCC(CN)C4)C(=O)NC2=O)c2ccccc21,600,active,424.504,3.2213,2,5,600,6.22184875
CHEMBL69129,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCC(O)C1,33000,inactive,386.455,4.5587,2,6,33000,4.48148606
CHEMBL47940,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCCC1,33000,inactive,370.456,5.5879,1,5,33000,4.48148606
CHEMBL266969,O=C1NC(=O)c2cc(NC3CCCCC3)c(NC3CCCCC3)cc21,100000,inactive,341.455,4.0594,3,4,100000,4
CHEMBL8000,O=C1c2cc(Nc3ccccc3)c(Nc3ccccc3)cc2C(=O)N1c1ccccc1,100000,inactive,405.457,5.9744,2,4,100000,4
CHEMBL8091,COC(=O)c1cc(Nc2ccc(F)cc2)c(Nc2ccc(F)cc2)cc1C(=O)OC,500000,inactive,412.392,5.0252,2,6,500000,3.301029996
CHEMBL8271,O=C1NC(=O)c2cc(Sc3ccccc3)c(Sc3ccccc3)cc21,50000,inactive,363.463,4.8726,1,4,50000,4.301029996
CHEMBL268368,O=C1NC(=O)c2c1c1c3ccccc3[nH]c1c1[nH]c3ccccc3c21,310,active,325.327,3.8392,3,2,310,6.508638306
CHEMBL266487,O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1c1c[nH]c2ccccc12,190,active,327.343,3.2164,3,2,190,6.721246399
CHEMBL267019,O=C1NC(=O)c2cc(Nc3ccc(O)cc3)c(Nc3ccc(O)cc3)cc21,75000,inactive,361.357,3.4686,5,6,75000,4.124938737
CHEMBL267941,CN(c1ccccc1)c1cc2c(cc1N(C)c1ccccc1)C(=O)NC2=O,500000,inactive,357.413,4.106,1,4,500000,3.301029996
CHEMBL268868,O=C1NC(=O)c2cc(Nc3ccccc3)c(Nc3ccccc3)cc21,80000,inactive,329.359,4.0574,3,4,80000,4.096910013
CHEMBL7352,COc1ccc(Nc2cc3c(cc2Nc2ccc(OC)cc2)C(=O)NC3=O)cc1,460000,inactive,389.411,4.0746,3,6,460000,3.337242168
CHEMBL7775,CN(c1ccccc1)c1cc2c(cc1Nc1ccccc1)C(=O)NC2=O,500000,inactive,343.386,4.0817,2,4,500000,3.301029996
CHEMBL8222,COC(=O)c1cc(Nc2ccccc2)c(Nc2ccccc2)cc1C(=O)OC,500000,inactive,376.412,4.747,2,6,500000,3.301029996
CHEMBL281470,COc1ccc(-c2[nH]nc3c2C(=O)c2ccccc2-3)cc1,725000,inactive,276.295,3.2967,1,3,725000,3.139661993
CHEMBL7914,Cc1ccc(Nc2cc3c(cc2Nc2ccc(C)cc2)C(=O)NC3=O)cc1,100000,inactive,357.413,4.67424,3,4,100000,4
CHEMBL7929,O=C1NC(=O)c2cc(Nc3ccc(-c4ccccc4)cc3)c(Nc3ccc(-c4ccccc4)cc3)cc21,500000,inactive,481.555,7.3914,3,4,500000,3.301029996
CHEMBL267869,N#Cc1ccc(Nc2cc3c(cc2Nc2ccc(C#N)cc2)C(=O)NC3=O)cc1,100000,inactive,379.379,3.80076,3,6,100000,4
CHEMBL266255,O=C1NC(=O)c2cc3c(cc21)N(c1ccccc1)CCN3c1ccccc1,270000,inactive,355.397,3.86,1,4,270000,3.568636236
CHEMBL7939,O=C1NC(=O)c2cc(Nc3ccc(F)cc3)c(Nc3ccc(F)cc3)cc21,32000,inactive,365.339,4.3356,3,4,32000,4.494850022
CHEMBL8163,O=C1NC(=O)c2cc(Nc3ccc(I)cc3)c(Nc3ccc(I)cc3)cc21,500000,inactive,581.151,5.2666,3,4,500000,3.301029996
CHEMBL8095,COc1ccc(Nc2cc3c(cc2Nc2ccccc2)C(=O)NC3=O)cc1,100000,inactive,359.385,4.066,3,5,100000,4
CHEMBL268441,CC(=O)N(c1ccccc1)c1cc2c(cc1Nc1ccccc1)C(=O)NC2=O,100000,inactive,371.396,3.9984,2,4,100000,4
CHEMBL8223,CCN(CC)c1ccc(Nc2cc3c(cc2Nc2ccc(N(CC)CC)cc2)C(=O)NC3=O)cc1,500000,inactive,471.605,5.7498,3,6,500000,3.301029996
CHEMBL8036,CN1C(=O)c2cc(Nc3ccccc3)c(Nc3ccccc3)cc2C1=O,100000,inactive,343.386,4.3996,2,4,100000,4
CHEMBL345384,COC1C(CO)OC(n2c3c(Cl)cccc3c3c4c(c5c6cccc(Cl)c6[nH]c5c32)C(=O)N(CC(=O)CCl)C4=O)C(O)C1O,151000,inactive,660.894,3.7662,4,9,151000,3.821023053
